Nitrogen(mg/kg),Phosphorus(mg/kg),Potassium(mg/kg),Soil_Type,Crop_Type,pH,Electrical_Conductivity,Soil_Moisture,Soil_Temperture,N_Status,P_Status,K_Status,Primary_Fertilizer,Secondary_Fertilizer,pH_Amendment
78.99,12.59,141.23,Laterite,Bajra,5.67,879.69,16.86,28.18,42.01,0,0,Ammonium Chloride,Copper Sulphate + Zinc Sulphate,Dolomitic Lime
215.97,79.75,231.43,Arid,Mustard,7.64,634.06,11.58,34.01,0,0,0,Balanced NPK (14-14-14),Boric Acid + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Elemental Sulphur
231.85,68.45,264.79,Red,Garlic,8.25,533.98,22.27,25.34,0,0,0,Balanced NPK (14-14-14),Copper Sulphate + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Ammonium Sulphate
46.6,2.43,107.11,Alluvial,Cotton,5.98,365.34,33.82,26.13,63.4,5.17,44.89,Balanced NPK (14-14-14),Manganese Sulphate + Sodium Molybdate,Quicklime
90.41,12.02,85.55,Laterite,Ragi,6.56,817.75,31.02,30.68,30.59,0,3.45,Urea + MOP (Muriate of Potash),Borax + Manganese Sulphate,Balance Maintain
190.13,68.62,134.41,Alluvial,Bajra,7.61,519.14,23.17,27.75,0,0,17.59,Potassium-Magnesium Sulphate,Copper Sulphate + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Ferrous Sulphate
137.98,16.98,108.56,Laterite,Garlic,5.48,957.54,24.97,30.35,0,0,0,Balanced NPK (14-14-14),Ferrous Sulphate + Sodium Molybdate,Agricultural Lime
34.3,11.64,76.32,Alluvial,Sugarcane,7.02,287.63,20.47,25.21,75.7,0,75.68,Urea + MOP (Muriate of Potash),Copper Sulphate + Manganese Sulphate,Balance Maintain
68.04,42.24,141.57,Red,Rice,5.83,759.04,24.42,19.73,3.96,0,0,UAN (Urea Ammonium Nitrate),Boric Acid + Ammonium Molybdate,Wood Ash
97.48,14.24,126.49,Alluvial,Moong,7.27,799.13,31.62,30.21,12.52,0,25.51,Urea + MOP (Muriate of Potash),Manganese Sulphate + Ammonium Molybdate,Balance Maintain
56.48,9.46,39.75,Black,Onion,7.08,943.95,20.45,28.48,58.52,0,107.25,Urea + MOP (Muriate of Potash),Copper Sulphate + Ferrous Sulphate,Balance Maintain
38.85,26.28,118.66,Red,Barley,5.96,920.44,29.05,18.99,33.15,1.72,5.34,Balanced NPK (14-14-14),Copper Sulphate + Ferrous Sulphate,Wood Ash
188.95,9.04,147.74,Clayey,Jowar,6.76,1512.79,28.15,22.55,0,0.96,2.26,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Boric Acid + Copper Sulphate,Balance Maintain
67.84,34.75,180.27,Red,Onion,5.82,888.28,16.03,26.17,4.16,0,0,Ammonium Sulphate,Sodium Molybdate + Zinc Sulphate,Quicklime
85.75,13.63,121.62,Red,Cotton,6.55,99.27,26.92,28.82,0,14.37,2.38,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Copper Sulphate + Ammonium Molybdate,Balance Maintain
79.09,31.51,76.94,Red,Moong,5.87,410.92,20.25,19.11,0,0,47.06,Potassium Nitrate,Borax + Ferrous Sulphate,Hydrated Lime
149.49,71.2,318.49,Black,Mustard,8.59,781.48,32.68,27.54,0,0,0,Balanced NPK (14-14-14),Ferrous Sulphate + Ammonium Molybdate,Aluminium Sulphate
125.62,10.01,132.9,Alluvial,Bajra,6.2,726.48,23,22.41,0,0,19.1,SOP (Sulphate of Potash),Borax + Manganese Sulphate,Balance Maintain
100.88,7.28,96.19,Arid,Jowar,7.91,1711.13,11.56,29.74,32.12,0,17.81,Urea + MOP (Muriate of Potash),Boric Acid + Ferrous Sulphate + Zinc Sulphate,Ammonium Sulphate
134,6.43,101.16,Alluvial,Rice,6.84,688.68,25.56,27.84,0,1.17,50.84,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Boric Acid + Copper Sulphate,Balance Maintain
98.33,4.4,149.02,Alkaline,Rice,8.7,2152.75,18.62,33.09,0,1.6,0,SSP (Single Super Phosphate),Boric Acid + Zinc Sulphate,Ammonium Sulphate
41.02,11.81,104.66,Red,Garlic,5.53,286.71,18.55,24.39,30.98,16.19,19.34,Balanced NPK (14-14-14),Copper Sulphate + Ammonium Molybdate,Quicklime
110.37,7.43,142.63,Black,Onion,6.76,773.18,33.94,28.43,4.63,0.57,4.37,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Boric Acid + Copper Sulphate,Balance Maintain
141.97,12.01,147.22,Black,Onion,6.39,751.13,39.74,30.2,0,0,0,Balanced NPK (14-14-14),Boric Acid + Ammonium Molybdate,Balance Maintain
104.81,55.29,222.15,Arid,Chickpea,8.38,289.8,17.73,24.51,28.19,0,0,Ammonium Nitrate,Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Gypsum
104.14,7.93,184.61,Arid,Moong,7.82,1881,9.26,37.24,28.86,0,0,UAN (Urea Ammonium Nitrate),Borax + Ferrous Sulphate + Zinc Sulphate,Ammonium Sulphate
87.57,18.86,133.56,Red,Soybean,6.12,1019.76,22.37,18.54,0,9.14,0,MAP (Mono-Ammonium Phosphate),Manganese Sulphate + Zinc Sulphate,Balance Maintain
173.06,41.75,113.96,Alkaline,Onion,7.73,275.3,13.91,31.99,0,0,16.04,MOP (Muriate of Potash),Boric Acid + Copper Sulphate + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Aluminium Sulphate
118.36,5.56,72.02,Alkaline,Chickpea,5.12,136.76,19.04,20.31,0,0.44,57.98,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Sodium Molybdate,Hydrated Lime
127.26,3.82,206.73,Alluvial,Maize,6.75,779.55,21.4,18.98,0,3.78,0,Rock Phosphate,Copper Sulphate + Manganese Sulphate,Balance Maintain
84.36,5.49,104.65,Arid,Groundnut,7.57,977.21,18.14,28.52,48.64,0.51,9.35,Balanced NPK (14-14-14),Calcium Chloride + Zinc Sulphate,Gypsum
69.24,11.45,124.9,Alkaline,Rice,7.34,235.4,22.75,26.05,20.76,0,5.1,Urea + MOP (Muriate of Potash),Ferrous Sulphate + Zinc Sulphate,Balance Maintain
163.58,8.86,95.04,Arid,Moong,8.32,1068.06,6.16,33.44,0,0,18.96,Potassium Carbonate,Borax + Ferrous Sulphate + Zinc Sulphate,Gypsum
173.03,56.64,218.92,Alluvial,Rice,8.54,631.74,24.1,18,0,0,0,Balanced NPK (14-14-14),Copper Sulphate + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Elemental Sulphur
17.11,6.17,200.3,Alkaline,Cotton,8.61,1722.64,13.8,27.35,72.89,0,0,Ammonium Nitrate,Boric Acid + Ferrous Sulphate + Zinc Sulphate,Aluminium Sulphate
67.72,5.11,84.7,Clayey,Maize,7.2,1096.57,20.25,30.27,82.28,4.89,65.3,Balanced NPK (14-14-14),Ferrous Sulphate + Manganese Sulphate,Balance Maintain
127.83,2.82,137.44,Alkaline,Rice,8.1,1240.43,23.68,32.12,0,3.18,0,TSP (Triple Super Phosphate),Copper Sulphate + Ammonium Molybdate,Gypsum
36.61,13.25,46.86,Black,Cotton,6.33,90.31,33.96,23.55,78.39,0,100.14,Urea + MOP (Muriate of Potash),Copper Sulphate + Manganese Sulphate,Balance Maintain
125.49,13.81,54.6,Alluvial,Ragi,6.16,779.74,30.54,21.36,0,0,97.4,Potassium Carbonate,Copper Sulphate + Manganese Sulphate,Balance Maintain
143.45,10.45,138.04,Laterite,Bajra,6.13,754.87,18.66,29.52,0,0,0,Balanced NPK (14-14-14),Copper Sulphate + Zinc Sulphate,Balance Maintain
75.34,10.37,125.89,Black,Sugarcane,6.18,1174.14,37.86,31.6,39.66,0,21.11,Urea + MOP (Muriate of Potash),Boric Acid + Zinc Sulphate,Balance Maintain
134.65,10.55,78.48,Black,Cotton,7.53,1401.49,23.46,31.59,0,0,68.52,Potassium Carbonate,Copper Sulphate + Sodium Molybdate,Ferrous Sulphate
81.29,6.68,159.02,Black,Bajra,6.76,853.55,28.65,28.45,33.71,1.32,0,DAP (Di-Ammonium Phosphate),Borax + Ferrous Sulphate,Balance Maintain
133.27,17.27,90.36,Laterite,Jowar,6.29,695.28,25.44,22.74,0,0,0,Balanced NPK (14-14-14),Copper Sulphate + Zinc Sulphate,Balance Maintain
53.12,48.52,147.7,Red,Soybean,6.27,788.25,17.39,22.79,18.88,0,0,Ammonium Sulphate,Borax + Ferrous Sulphate,Balance Maintain
56.55,33.69,214.45,Red,Cotton,6.55,761.24,24.1,25.38,15.45,0,0,UAN (Urea Ammonium Nitrate),Manganese Sulphate + Ammonium Molybdate,Balance Maintain
115.53,13.65,168.53,Clayey,Groundnut,6.96,1090.62,28.99,23.51,34.47,0,0,Ammonium Sulphate,Manganese Sulphate + Sodium Molybdate,Balance Maintain
162.99,16.83,124.8,Laterite,Moong,5.98,1041.58,29.83,33.52,0,0,0,Balanced NPK (14-14-14),Borax + Sodium Molybdate,Hydrated Lime
181.26,57.35,210.86,Alkaline,Garlic,8.55,639.55,10.26,22.79,0,0,0,Balanced NPK (14-14-14),Boric Acid + Copper Sulphate + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Ferrous Sulphate
131.27,49.14,306.68,Alkaline,Sugarcane,8.51,376.57,14.36,34.78,0,0,0,Balanced NPK (14-14-14),Boric Acid + Ferrous Sulphate + Zinc Sulphate,Aluminium Sulphate
179.03,62.42,291.02,Black,Jowar,7.98,246.54,25.22,28.22,0,0,0,Balanced NPK (14-14-14),Copper Sulphate + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Aluminium Sulphate
86.7,2.93,75.73,Laterite,Rice,6.18,876.69,15.42,22.2,34.3,6.07,13.27,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Manganese Sulphate + Sodium Molybdate,Balance Maintain
194.94,40.52,199.88,Arid,Cotton,7.62,715.52,6.46,28.57,0,0,0,Balanced NPK (14-14-14),Borax + Copper Sulphate + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Ammonium Sulphate
49.58,2.82,151.56,Alkaline,Garlic,8.68,2192.4,15.72,31.12,40.42,3.18,0,DAP (Di-Ammonium Phosphate),Copper Sulphate + Zinc Sulphate,Gypsum
114.8,7.43,86.19,Laterite,Chickpea,5.95,677.56,34.8,22.66,6.2,1.57,2.81,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Ammonium Molybdate + Zinc Sulphate,Agricultural Lime
50.54,2,182.33,Red,Mustard,6.21,802.43,17.56,32.05,21.46,26,0,DAP (Di-Ammonium Phosphate),Sodium Molybdate + Zinc Sulphate,Balance Maintain
83.82,7.88,144.74,Alluvial,Mustard,7.19,683.37,33.13,22.76,26.18,0,7.26,Urea + MOP (Muriate of Potash),Boric Acid + Manganese Sulphate,Balance Maintain
204.03,79.9,260.49,Alkaline,Cotton,7.83,677.37,19.45,25.89,0,0,0,Balanced NPK (14-14-14),Copper Sulphate + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Ammonium Sulphate
66.76,6.86,236.61,Alkaline,Sugarcane,8.33,1785.44,21.95,28.58,23.24,0,0,Ammonium Sulphate,Copper Sulphate + Ammonium Molybdate,Aluminium Sulphate
95.72,7.38,134.02,Black,Chickpea,7.44,558.93,21.31,27.69,19.28,0.62,12.98,Balanced NPK (14-14-14),Manganese Sulphate + Sodium Molybdate,Balance Maintain
106.79,5.16,83.99,Black,Groundnut,6.12,777.76,25.36,28.98,8.21,2.84,63.01,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Borax + Zinc Sulphate,Balance Maintain
160.26,10.61,175.17,Clayey,Chickpea,6.64,969.59,29.83,22.84,0,0,0,Balanced NPK (14-14-14),Ferrous Sulphate + Sodium Molybdate,Balance Maintain
112.16,9.75,208.19,Black,Maize,6.9,806.86,20.09,28.32,2.84,0,0,Urea,Copper Sulphate + Sodium Molybdate,Balance Maintain
74.82,28.24,140.09,Red,Maize,6.41,852.45,29.76,30.55,0,0,0,Balanced NPK (14-14-14),Borax + Copper Sulphate,Balance Maintain
139.12,8.21,50.27,Laterite,Rice,5.54,269.56,32.18,21.23,0,0.79,38.73,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Copper Sulphate + Manganese Sulphate,Dolomitic Lime
181.36,13.63,116.63,Laterite,Groundnut,5.91,1163.7,20.9,29.4,0,0,0,Balanced NPK (14-14-14),Ferrous Sulphate + Zinc Sulphate,Agricultural Lime
55.02,34.02,105.81,Red,Barley,5.92,1122.38,22.96,26.76,16.98,0,18.19,Urea + MOP (Muriate of Potash),Ferrous Sulphate + Zinc Sulphate,Wood Ash
259.08,73.19,197.61,Alluvial,Soybean,7.61,240.13,29.8,25.49,0,0,0,Balanced NPK (14-14-14),Borax + Zinc Sulphate,Aluminium Sulphate
86.42,11.76,198.75,Black,Maize,6.82,653.13,20.36,33.75,28.58,0,0,Ammonium Chloride,Manganese Sulphate + Zinc Sulphate,Balance Maintain
133.02,4.54,98.89,Arid,Barley,8.11,1788.55,19.77,24.54,0,1.46,15.11,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Ferrous Sulphate + Manganese Sulphate,Aluminium Sulphate
114.71,11.67,73.61,Laterite,Ragi,6.57,91.74,34.28,21.08,6.29,0,15.39,Urea + MOP (Muriate of Potash),Boric Acid + Zinc Sulphate,Balance Maintain
148.56,74.41,221.95,Laterite,Garlic,8.58,747.55,23.53,32.75,0,0,0,Balanced NPK (14-14-14),Copper Sulphate + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Ammonium Sulphate
156.56,7.35,77.02,Black,Garlic,6.82,1349.51,30.26,28.11,0,0.65,69.98,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Copper Sulphate + Zinc Sulphate,Balance Maintain
61.35,24.93,122.24,Red,Maize,6.07,1113.48,25.74,26.06,10.65,3.07,1.76,Balanced NPK (14-14-14),Copper Sulphate + Manganese Sulphate,Balance Maintain
67.57,11.34,237.25,Black,Rice,6.95,727.29,22.22,29.27,47.43,0,0,Ammonium Sulphate,Borax + Sodium Molybdate,Balance Maintain
111.38,41.81,152.17,Red,Bajra,7.93,600.36,25.77,20.05,0,0,0,Balanced NPK (14-14-14),Copper Sulphate + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Ferrous Sulphate
130.84,5.22,90.77,Laterite,Chickpea,6.23,1062.01,17.1,34.2,0,3.78,0,DAP (Di-Ammonium Phosphate),Boric Acid + Manganese Sulphate,Balance Maintain
165.59,8.36,95.42,Alluvial,Garlic,6.07,1101.48,26.4,28.66,0,0,56.58,MOP (Muriate of Potash),Copper Sulphate + Sodium Molybdate,Balance Maintain
128.19,8.3,133.85,Black,Wheat,6.4,1028.86,21.55,30.34,0,0,13.15,MOP (Muriate of Potash),Copper Sulphate + Manganese Sulphate,Balance Maintain
132.92,42.7,274.01,Alluvial,Wheat,8.44,584.27,31.66,25.93,0,0,0,Balanced NPK (14-14-14),Copper Sulphate + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Aluminium Sulphate
138.11,7.21,126.97,Alkaline,Sugarcane,8.32,2410.18,23.61,35.9,0,0,3.03,SOP (Sulphate of Potash),Manganese Sulphate + Ammonium Molybdate,Ferrous Sulphate
131.8,6.62,132.35,Alluvial,Moong,6.09,1208.28,33.35,20.22,0,0.98,19.65,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Ferrous Sulphate + Ammonium Molybdate,Balance Maintain
131.71,12.72,240.03,Black,Chickpea,7.75,791.81,30.27,27.7,0,0,0,Balanced NPK (14-14-14),Boric Acid + Manganese Sulphate,Ammonium Sulphate
79.1,9.93,92.14,Laterite,Soybean,6.18,983.49,28.71,21.65,41.9,0,0,Ammonium Nitrate,Manganese Sulphate + Ammonium Molybdate,Balance Maintain
178.54,8.34,159.37,Clayey,Bajra,6.44,791.62,20.46,20.23,0,1.66,0,Rock Phosphate,Copper Sulphate + Ferrous Sulphate,Balance Maintain
141.39,9.65,166.19,Black,Cotton,6.83,1059.19,22.79,20.75,0,0,0,Balanced NPK (14-14-14),Copper Sulphate + Zinc Sulphate,Balance Maintain
148.87,8.38,195.51,Clayey,Jowar,6.83,89.96,36.5,19.06,1.13,1.62,0,DAP (Di-Ammonium Phosphate),Ferrous Sulphate + Zinc Sulphate,Balance Maintain
168.89,53.61,176.59,Black,Chickpea,8.15,758.2,25.36,26.36,0,0,0,Balanced NPK (14-14-14),Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Gypsum
186.75,8.79,151.53,Laterite,Cotton,6.15,1318.79,24.32,23.34,0,0.21,0,Rock Phosphate,Manganese Sulphate + Zinc Sulphate,Balance Maintain
94.94,11.02,106.85,Laterite,Cotton,6.16,1518.78,19.17,33.03,26.06,0,0,Urea,Sodium Molybdate + Zinc Sulphate,Balance Maintain
161.31,74.1,231.02,Red,Moong,7.7,463.17,26.87,33.83,0,0,0,Balanced NPK (14-14-14),Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Gypsum
60.94,5.25,111.53,Arid,Onion,8.84,498.75,8.16,25.84,72.06,0.75,2.47,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Boric Acid + Ferrous Sulphate + Zinc Sulphate,Elemental Sulphur
109.5,12.36,107.66,Alluvial,Sugarcane,6,517.63,25.23,31.87,0.5,0,44.34,Urea + MOP (Muriate of Potash),Ferrous Sulphate + Sodium Molybdate,Hydrated Lime
147.14,51.68,314.39,Clayey,Barley,7.69,444.31,31.34,20.77,2.86,0,0,Ammonium Sulphate,Borax + Ferrous Sulphate,Gypsum
212.99,14.06,176.07,Clayey,Sugarcane,6.66,814.44,38.94,31.21,0,0,0,Balanced NPK (14-14-14),Ammonium Molybdate + Zinc Sulphate,Balance Maintain
163.95,9.37,111.53,Black,Cotton,6.94,717.56,36.83,26.45,0,0,35.47,SOP (Sulphate of Potash),Manganese Sulphate + Zinc Sulphate,Balance Maintain
114.6,6.14,116.79,Laterite,Garlic,6.51,687.95,20.31,20.85,6.4,2.86,0,DAP (Di-Ammonium Phosphate),Boric Acid + Manganese Sulphate,Balance Maintain
166.06,11.08,122.66,Black,Chickpea,7.49,567.39,39.31,32.5,0,0,24.34,MOP (Muriate of Potash),Boric Acid + Zinc Sulphate,Balance Maintain
157.47,70.05,315.08,Alluvial,Chickpea,7.78,629.56,22.29,19.86,0,0,0,Balanced NPK (14-14-14),Boric Acid + Zinc Sulphate,Elemental Sulphur
87.17,9.91,178.12,Clayey,Chickpea,5.99,616.78,23.07,18.27,62.83,0.09,0,DAP (Di-Ammonium Phosphate),Ferrous Sulphate + Zinc Sulphate,Dolomitic Lime
122.49,10.23,82.38,Laterite,Moong,5.84,1264.34,29.84,26.1,0,0,6.62,SOP (Sulphate of Potash),Manganese Sulphate + Ammonium Molybdate,Agricultural Lime
129.11,46.1,117.15,Black,Onion,8.39,345.08,22.93,31.18,0,0,29.85,MOP (Muriate of Potash),Copper Sulphate + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Aluminium Sulphate
113.32,2.7,187.68,Alluvial,Bajra,6.95,853.18,30.01,23.4,0,4.9,0,DAP (Di-Ammonium Phosphate),Ferrous Sulphate + Manganese Sulphate,Balance Maintain
183.65,10.76,77.77,Clayey,Jowar,6.99,1093.79,31.39,26.09,0,0,72.23,SOP (Sulphate of Potash),Boric Acid + Ferrous Sulphate,Balance Maintain
100.98,33.31,150.52,Red,Groundnut,5.77,825.21,23.11,22.36,0,0,0,Balanced NPK (14-14-14),Calcium Chloride + Ammonium Molybdate,Quicklime
217.96,7.87,184.63,Black,Moong,7.08,1227.93,38.61,27.12,0,0.13,0,Rock Phosphate,Sodium Molybdate + Zinc Sulphate,Balance Maintain
99.87,5.3,113.07,Alkaline,Rice,9.01,2018.72,15.7,32.67,0,0.7,16.93,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Copper Sulphate + Ferrous Sulphate,Aluminium Sulphate
172.75,5.35,102.34,Arid,Ragi,8.41,1540.89,6.95,32.16,0,0.65,11.66,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Borax + Ferrous Sulphate + Zinc Sulphate,Gypsum
94.34,10.16,134.09,Alluvial,Rice,6.88,218.75,32.96,26.67,15.66,0,17.91,Urea + MOP (Muriate of Potash),Copper Sulphate + Manganese Sulphate,Balance Maintain
122.99,10.07,79.26,Arid,Rice,8.6,2211.94,16.8,31.17,10.01,0,34.74,Urea + MOP (Muriate of Potash),Copper Sulphate + Zinc Sulphate,Elemental Sulphur
97.59,7.4,133.67,Clayey,Garlic,5.79,338.6,34.94,21.38,52.41,2.6,16.33,Balanced NPK (14-14-14),Borax + Manganese Sulphate,Wood Ash
129.97,11.19,129.69,Black,Ragi,7.52,787.81,31.05,27.38,0,0,17.31,Potassium-Magnesium Sulphate,Ferrous Sulphate + Zinc Sulphate,Gypsum
92.09,34.86,106.4,Red,Garlic,6.94,1139.82,22.81,30.54,0,0,17.6,Potassium Nitrate,Copper Sulphate + Zinc Sulphate,Balance Maintain
203.02,51.13,290.42,Red,Jowar,8.6,364.2,18.91,19.18,0,0,0,Balanced NPK (14-14-14),Copper Sulphate + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Aluminium Sulphate
77.57,5.1,119.99,Alkaline,Jowar,9.03,1230.7,15.09,24.95,12.43,0.9,10.01,Balanced NPK (14-14-14),Borax + Manganese Sulphate,Elemental Sulphur
63.04,27.88,134.52,Red,Groundnut,6.2,759.44,27.39,19.58,8.96,0.12,0,DAP (Di-Ammonium Phosphate),Ferrous Sulphate + Zinc Sulphate,Balance Maintain
116.77,36,99.6,Red,Maize,6.24,1220.82,15.3,32.3,0,0,24.4,SOP (Sulphate of Potash),Copper Sulphate + Ammonium Molybdate,Balance Maintain
106.35,72.75,191.98,Clayey,Ragi,7.98,313.99,36.03,24.41,43.65,0,0,Ammonium Chloride,Copper Sulphate + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Aluminium Sulphate
179.9,6.94,79.99,Arid,Maize,8.02,2345.84,18.59,36.05,0,0,34.01,Potassium-Magnesium Sulphate,Copper Sulphate + Sodium Molybdate,Ferrous Sulphate
109.87,5.28,111.32,Black,Wheat,6.68,819.47,33.39,33.18,5.13,2.72,35.68,Balanced NPK (14-14-14),Boric Acid + Manganese Sulphate,Balance Maintain
82.96,52.2,220.53,Red,Ragi,6.24,1149.26,25.47,29.28,0,0,0,Balanced NPK (14-14-14),Borax + Manganese Sulphate,Balance Maintain
243.89,72.96,109.54,Laterite,Cotton,8.55,601.32,24.1,29.26,0,0,0,Balanced NPK (14-14-14),Copper Sulphate + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Aluminium Sulphate
91.47,13.3,131,Laterite,Moong,6.72,262.39,32.88,31.47,29.53,0,0,Ammonium Nitrate,Boric Acid + Sodium Molybdate,Balance Maintain
144.93,9.08,85.44,Laterite,Jowar,6.77,956.88,31.86,22.47,0,0,3.56,Potassium Nitrate,Copper Sulphate + Manganese Sulphate,Balance Maintain
29.81,13.48,125.05,Laterite,Wheat,7.14,293.93,21,21.4,91.19,0,0,Ammonium Nitrate,Copper Sulphate + Zinc Sulphate,Balance Maintain
87.32,9.66,211.95,Alluvial,Ragi,5.49,767.73,29.81,29.4,22.68,0,0,UAN (Urea Ammonium Nitrate),Copper Sulphate + Zinc Sulphate,Wood Ash
183.48,4.79,194.02,Black,Cotton,7.05,1156.52,29.31,28.05,0,3.21,0,SSP (Single Super Phosphate),Boric Acid + Copper Sulphate,Balance Maintain
220.82,56.83,270.88,Arid,Chickpea,8.08,656.09,9.15,23.73,0,0,0,Balanced NPK (14-14-14),Boric Acid + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Ammonium Sulphate
66.4,31.08,120.85,Red,Garlic,6.04,679.81,17.58,29.99,5.6,0,3.15,Urea + MOP (Muriate of Potash),Copper Sulphate + Ferrous Sulphate,Balance Maintain
117.74,5.6,156.35,Clayey,Groundnut,5.63,898.27,24.04,31.27,32.26,4.4,0,DAP (Di-Ammonium Phosphate),Boric Acid + Calcium Chloride,Agricultural Lime
73.7,34.3,136.69,Red,Rice,5.69,849.72,17.07,29.1,0,0,0,Balanced NPK (14-14-14),Boric Acid + Zinc Sulphate,Agricultural Lime
131.54,8.86,193.72,Alluvial,Rice,6.11,329.54,27.16,28.06,0,0,0,Balanced NPK (14-14-14),Sodium Molybdate + Zinc Sulphate,Balance Maintain
114.75,4.82,119.02,Arid,Wheat,8.42,820.6,13.92,34.43,18.25,1.18,0,DAP (Di-Ammonium Phosphate),Boric Acid + Ferrous Sulphate + Zinc Sulphate,Ferrous Sulphate
101.17,10.37,164.98,Black,Moong,7.12,773.59,36.46,23.87,13.83,0,0,Ammonium Chloride,Manganese Sulphate + Ammonium Molybdate,Balance Maintain
29.68,10.44,91.03,Arid,Cotton,6.78,347.45,11.78,29.71,103.32,0,22.97,Urea + MOP (Muriate of Potash),Ferrous Sulphate + Zinc Sulphate,Balance Maintain
89.54,4.7,110.43,Alkaline,Cotton,8.2,1275.83,10.17,31.63,0.46,1.3,19.57,Balanced NPK (14-14-14),Borax + Ferrous Sulphate + Zinc Sulphate,Aluminium Sulphate
100.06,7.8,140.28,Alkaline,Mustard,8.77,1732.19,19.14,26.19,0,0,0,Balanced NPK (14-14-14),Ferrous Sulphate + Manganese Sulphate,Gypsum
190.13,7.5,71.86,Arid,Sugarcane,7.41,1169.12,12.9,39.68,0,0,42.14,Potassium Carbonate,Ferrous Sulphate + Manganese Sulphate,Balance Maintain
199.1,9.45,78.63,Laterite,Soybean,5.98,925.82,19.24,25.44,0,0,10.37,Potassium Nitrate,Copper Sulphate + Manganese Sulphate,Agricultural Lime
118.75,5.54,194.68,Black,Ragi,7.2,871.53,35.68,30.76,0,2.46,0,Rock Phosphate,Ferrous Sulphate + Zinc Sulphate,Balance Maintain
117.74,8.17,166.08,Clayey,Barley,6.16,944.41,25.91,20.21,32.26,1.83,0,DAP (Di-Ammonium Phosphate),Copper Sulphate + Manganese Sulphate,Balance Maintain
144.78,11.78,85.63,Black,Cotton,6.94,1082.98,37.22,23.33,0,0,61.37,SOP (Sulphate of Potash),Borax + Ammonium Molybdate,Balance Maintain
58.78,4.24,134.68,Red,Barley,5.56,135.23,16.4,26.91,13.22,23.76,0,DAP (Di-Ammonium Phosphate),Borax + Zinc Sulphate,Dolomitic Lime
75.57,14.25,180.44,Alluvial,Wheat,6.49,820.42,24.11,22.72,34.43,0,0,UAN (Urea Ammonium Nitrate),Ammonium Molybdate + Zinc Sulphate,Balance Maintain
209.53,16.54,50.31,Clayey,Bajra,6.69,1273.04,32.18,28.03,0,0,99.69,Potassium-Magnesium Sulphate,Borax + Manganese Sulphate,Balance Maintain
64.62,33.05,114.9,Red,Groundnut,6.24,779.2,27.19,31.86,7.38,0,9.1,Urea + MOP (Muriate of Potash),Boric Acid + Zinc Sulphate,Balance Maintain
78.27,2,122.4,Alkaline,Wheat,8.09,1128.36,13.78,30.96,11.73,4,7.6,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Borax + Ferrous Sulphate + Zinc Sulphate,Aluminium Sulphate
95.95,5.81,107.87,Laterite,Barley,5.69,595.66,23.66,33.76,25.05,3.19,0,DAP (Di-Ammonium Phosphate),Ammonium Molybdate + Zinc Sulphate,Dolomitic Lime
123.37,8.19,100.3,Laterite,Chickpea,6.27,866.79,33.21,21.74,0,0.81,0,Rock Phosphate,Sodium Molybdate + Zinc Sulphate,Balance Maintain
