Nitrogen(mg/kg),Phosphorus(mg/kg),Potassium(mg/kg),Crop_Type,pH,Electrical_Conductivity,Soil_Moisture,Soil_Temperture,N_Status,P_Status,K_Status,Primary_Fertilizer,pH_Amendment
72,29,122,Rice,8.17,3403,54,22,Optimal,Low,Low,urea_ammonium_nitrate_uan,Ammonium Sulphate
164,35,111,Jowar,8.08,1350,56,27,Low,Optimal,Low,urea,Balance Maintain
163,32,148,Onion,7.49,2551,61,20,Low,Low,Optimal,calcium_ammonium_nitrate_can,Balance Maintain
99,17,61,Moong,6.81,1304,77,16,Optimal,Optimal,Optimal,sulphate_of_potash_sop,Wood Ash
165,20,172,Barley,8.22,1012,63,16,Optimal,Optimal,Optimal,single_super_phosphate_ssp,Wood Ash
58,24,130,Ragi,7.92,1212,51,25,Low,Low,Optimal,rock_phosphate,Dolomite
105,20,145,Jowar,7.9,3116,80,20,Low,Low,Optimal,muriate_of_potash_mop,Elemental Sulphur
43,31,69,Cotton,5.84,2177,63,25,Low,Optimal,Optimal,ammonium_chloride,Wood Ash
89,21,69,Groundnut,8.1,2113,62,17,Optimal,Low,Optimal,balanced_npk_maintenance,Quicklime
121,27,84,Bajra,7.48,1240,64,17,Optimal,Low,Optimal,ammonium_nitrate,Gypsum
89,23,74,Chickpea,7.38,3174,70,20,Optimal,Low,Optimal,monoammonium_phosphate_map,Quicklime
79,35,171,Sugarcane,7.02,2320,65,26,Optimal,Optimal,Low,ammonium_chloride,Agricultural Lime
90,23,155,Jowar,6.89,2143,57,17,Optimal,Optimal,Low,triple_super_phosphate_tsp,Hydrated Lime
107,28,80,Barley,6.61,2381,68,30,Low,Low,Optimal,dap_mop_mixture,Aluminium Sulphate
128,12,85,Chickpea,7.51,3222,51,26,Low,Low,Optimal,dap_mop_mixture,Elemental Sulphur
147,30,96,Barley,8.46,1346,77,30,Low,Optimal,Low,urea_dap_mixture,Dolomite
141,17,98,Onion,7.49,2299,67,22,Optimal,Optimal,Low,ammonium_sulphate,Ferrous Sulphate
142,15,60,Rice,6.13,2935,76,30,Optimal,Low,Low,urea_mop_mixture,Gypsum
194,19,67,Rice,7.9,1215,57,22,Optimal,Low,Low,potassium_carbonate,Ferrous Sulphate
115,34,134,Onion,5.7,2678,55,19,Optimal,Optimal,Optimal,sulphate_of_potash_sop,Quicklime
132,13,67,Soybean,7.17,2915,57,26,Low,Optimal,Low,dap_mop_mixture,Aluminium Sulphate
157,15,84,Wheat,8.36,3148,56,19,Low,Optimal,Low,triple_super_phosphate_tsp,Balance Maintain
51,28,70,Groundnut,5.75,1918,55,22,Low,Low,Optimal,ammonium_chloride,Balance Maintain
120,26,163,Mustard,8.44,2984,75,17,Optimal,Optimal,Optimal,calcium_ammonium_nitrate_can,Balance Maintain
57,16,89,Rice,7.23,2388,67,17,Optimal,Optimal,Optimal,triple_super_phosphate_tsp,Gypsum
87,16,81,Ragi,7.74,2548,75,19,Optimal,Low,Optimal,sulphate_of_potash_sop,Dolomite
161,16,80,Bajra,7.55,842,52,28,Low,Low,Optimal,rock_phosphate,Ammonium Sulphate
125,28,148,Soybean,7.5,1226,62,17,Optimal,Optimal,Optimal,urea_mop_mixture,Dolomite
133,26,81,Chickpea,7.15,1486,61,21,Low,Low,Low,rock_phosphate,Ferrous Sulphate
165,35,91,Groundnut,8.25,3354,54,24,Low,Optimal,Low,dap_mop_mixture,Balance Maintain
100,11,191,Moong,7.54,850,67,15,Optimal,Low,Optimal,diammonium_phosphate_dap,Agricultural Lime
178,20,138,Sugarcane,6.2,2602,50,24,Optimal,Low,Low,ammonium_chloride,Gypsum
194,15,148,Chickpea,6.16,2091,61,26,Optimal,Low,Optimal,single_super_phosphate_ssp,Balance Maintain
162,13,148,Jowar,6.02,1009,76,21,Optimal,Low,Optimal,potassium_magnesium_sulphate,Dolomite
97,28,116,Chickpea,6.43,1738,57,15,Optimal,Low,Low,calcium_ammonium_nitrate_can,Aluminium Sulphate
199,30,65,Garlic,6.27,2364,60,26,Low,Low,Optimal,ammonium_sulphate,Ammonium Sulphate
44,10,85,Maize,6.66,1571,76,17,Optimal,Low,Low,urea_ammonium_nitrate_uan,Ammonium Sulphate
59,29,114,Cotton,7.51,873,79,22,Low,Optimal,Low,urea_dap_mixture,Dolomite
97,23,131,Rice,7.01,2328,68,25,Optimal,Optimal,Optimal,urea_ammonium_nitrate_uan,Hydrated Lime
101,27,146,Jowar,6.54,2811,65,27,Optimal,Low,Low,ammonium_nitrate,Ammonium Sulphate
55,31,145,Bajra,6.87,3255,68,16,Low,Optimal,Low,calcium_ammonium_nitrate_can,Elemental Sulphur
56,22,171,Moong,5.59,2537,71,24,Low,Optimal,Low,ammonium_nitrate,Aluminium Sulphate
126,20,122,Maize,7.01,843,62,19,Low,Low,Low,ammonium_chloride,Balance Maintain
156,10,88,Maize,7.59,2972,61,30,Optimal,Optimal,Optimal,ammonium_nitrate,Elemental Sulphur
59,16,90,Rice,6.49,3199,58,16,Low,Low,Optimal,single_super_phosphate_ssp,Ferrous Sulphate
167,10,103,Moong,5.88,2265,65,25,Optimal,Optimal,Optimal,triple_super_phosphate_tsp,Ammonium Sulphate
165,17,185,Cotton,5.7,1698,55,23,Optimal,Optimal,Low,calcium_ammonium_nitrate_can,Elemental Sulphur
176,33,139,Garlic,7.0,2291,50,19,Optimal,Low,Optimal,urea_mop_mixture,Balance Maintain
145,10,103,Chickpea,5.64,2408,66,29,Optimal,Optimal,Optimal,single_super_phosphate_ssp,Agricultural Lime
171,33,187,Wheat,6.71,2136,63,22,Low,Low,Low,dap_mop_mixture,Agricultural Lime
157,34,105,Maize,5.94,2810,68,20,Low,Low,Optimal,ammonium_sulphate,Dolomite
169,14,94,Groundnut,5.94,915,74,27,Optimal,Optimal,Low,dap_mop_mixture,Ammonium Sulphate
99,17,90,Ragi,8.49,843,74,27,Low,Low,Low,ammonium_chloride,Hydrated Lime
67,34,192,Mustard,7.21,2526,64,28,Low,Low,Optimal,triple_super_phosphate_tsp,Ammonium Sulphate
197,11,103,Ragi,7.61,1177,58,25,Low,Optimal,Low,dap_mop_mixture,Elemental Sulphur
62,27,98,Ragi,6.45,1238,67,15,Low,Optimal,Optimal,potassium_carbonate,Hydrated Lime
172,20,183,Ragi,6.37,2852,51,18,Optimal,Optimal,Low,ammonium_sulphate,Dolomite
79,14,102,Rice,6.15,2926,72,28,Low,Low,Optimal,diammonium_phosphate_dap,Elemental Sulphur
76,13,71,Soybean,6.51,2185,56,24,Optimal,Optimal,Low,ammonium_chloride,Aluminium Sulphate
59,34,184,Mustard,6.67,2508,80,25,Optimal,Optimal,Optimal,potassium_carbonate,Elemental Sulphur
133,34,70,Garlic,6.14,3451,78,22,Low,Low,Low,potassium_nitrate,Wood Ash
162,14,83,Mustard,6.34,1056,78,20,Low,Low,Optimal,ammonium_nitrate,Dolomite
42,32,149,Wheat,7.96,2548,59,25,Optimal,Optimal,Optimal,urea,Ferrous Sulphate
64,35,90,Ragi,8.47,3414,71,24,Optimal,Optimal,Optimal,potassium_carbonate,Dolomite
118,32,94,Wheat,7.75,2733,79,16,Low,Optimal,Low,dap_mop_mixture,Dolomite
149,30,174,Soybean,6.44,1720,66,18,Low,Low,Optimal,sulphate_of_potash_sop,Elemental Sulphur
80,18,120,Chickpea,6.06,1584,64,18,Optimal,Low,Low,ammonium_chloride,Ferrous Sulphate
158,31,99,Groundnut,7.72,3216,58,16,Optimal,Optimal,Low,diammonium_phosphate_dap,Agricultural Lime
79,12,83,Cotton,6.66,1141,72,28,Optimal,Low,Optimal,rock_phosphate,Wood Ash
188,24,146,Onion,6.14,2857,59,30,Optimal,Low,Low,potassium_magnesium_sulphate,Dolomite
196,28,128,Ragi,7.71,3341,52,21,Low,Low,Optimal,sulphate_of_potash_sop,Ferrous Sulphate
158,24,183,Ragi,6.88,1286,66,19,Low,Optimal,Low,potassium_carbonate,Agricultural Lime
57,32,143,Soybean,5.87,3223,72,15,Optimal,Optimal,Optimal,urea_dap_mixture,Elemental Sulphur
150,31,63,Sugarcane,8.26,2233,58,19,Low,Optimal,Optimal,diammonium_phosphate_dap,Elemental Sulphur
124,28,116,Sugarcane,7.54,1729,70,28,Optimal,Optimal,Optimal,ammonium_sulphate,Hydrated Lime
43,25,120,Cotton,8.27,3250,80,23,Optimal,Low,Optimal,sulphate_of_potash_sop,Ferrous Sulphate
130,12,79,Sugarcane,7.47,2462,69,24,Low,Low,Optimal,triple_super_phosphate_tsp,Quicklime
80,10,96,Rice,7.97,3223,66,28,Optimal,Low,Optimal,muriate_of_potash_mop,Balance Maintain
186,15,123,Wheat,7.85,3069,62,25,Low,Low,Optimal,urea,Gypsum
183,13,141,Onion,8.39,2218,79,26,Optimal,Optimal,Low,potassium_carbonate,Aluminium Sulphate
152,18,132,Garlic,7.37,1835,79,20,Low,Optimal,Low,urea_mop_mixture,Gypsum
67,19,194,Jowar,6.7,2288,73,20,Low,Optimal,Optimal,urea_mop_mixture,Ferrous Sulphate
114,28,63,Bajra,5.9,1781,68,20,Low,Optimal,Optimal,potassium_carbonate,Ammonium Sulphate
64,24,106,Jowar,8.37,1912,59,28,Low,Optimal,Optimal,triple_super_phosphate_tsp,Dolomite
139,26,194,Chickpea,6.59,1233,51,16,Optimal,Low,Low,single_super_phosphate_ssp,Agricultural Lime
97,10,165,Bajra,8.07,1900,59,15,Optimal,Low,Optimal,potassium_nitrate,Hydrated Lime
125,15,189,Wheat,6.53,2597,56,19,Optimal,Low,Optimal,ammonium_nitrate,Hydrated Lime
162,25,83,Garlic,8.49,1650,70,18,Low,Low,Optimal,urea_ammonium_nitrate_uan,Quicklime
81,19,66,Garlic,6.48,2083,69,23,Low,Optimal,Optimal,monoammonium_phosphate_map,Ammonium Sulphate
87,34,92,Barley,6.93,1027,66,24,Optimal,Low,Low,rock_phosphate,Agricultural Lime
49,16,125,Ragi,6.29,3196,65,20,Optimal,Optimal,Low,potassium_carbonate,Agricultural Lime
194,19,150,Barley,8.03,870,62,30,Low,Optimal,Optimal,potassium_carbonate,Balance Maintain
193,10,105,Soybean,8.18,3018,64,24,Optimal,Low,Low,dap_mop_mixture,Wood Ash
85,20,191,Onion,6.03,1411,78,28,Optimal,Low,Optimal,potassium_nitrate,Ferrous Sulphate
143,33,154,Groundnut,8.2,1200,58,17,Low,Optimal,Low,urea_mop_mixture,Ferrous Sulphate
152,23,120,Barley,8.03,1914,63,25,Optimal,Optimal,Low,urea,Gypsum
48,34,62,Groundnut,8.03,1469,74,19,Low,Optimal,Optimal,calcium_ammonium_nitrate_can,Agricultural Lime
58,16,92,Wheat,8.31,1854,75,25,Low,Optimal,Optimal,rock_phosphate,Ferrous Sulphate
87,20,109,Moong,6.63,2161,54,22,Low,Low,Optimal,potassium_nitrate,Hydrated Lime
57,25,83,Sugarcane,5.66,2841,63,22,Low,Low,Optimal,sulphate_of_potash_sop,Aluminium Sulphate
92,29,102,Mustard,6.05,3169,62,21,Low,Low,Low,triple_super_phosphate_tsp,Aluminium Sulphate
123,28,66,Rice,8.37,2503,66,26,Optimal,Optimal,Optimal,rock_phosphate,Dolomite
188,18,144,Mustard,7.64,2459,78,27,Low,Low,Low,ammonium_sulphate,Quicklime
185,24,79,Groundnut,7.37,1742,67,23,Low,Low,Low,potassium_magnesium_sulphate,Agricultural Lime
52,17,162,Mustard,7.38,1068,72,19,Optimal,Optimal,Low,monoammonium_phosphate_map,Elemental Sulphur
48,35,148,Rice,7.79,3364,66,24,Low,Optimal,Low,muriate_of_potash_mop,Dolomite
149,10,70,Onion,6.54,2720,68,22,Optimal,Low,Low,urea_mop_mixture,Elemental Sulphur
199,26,187,Moong,6.06,2655,80,17,Optimal,Optimal,Low,single_super_phosphate_ssp,Balance Maintain
170,21,118,Sugarcane,6.8,2198,62,29,Optimal,Optimal,Optimal,monoammonium_phosphate_map,Gypsum
173,25,70,Groundnut,6.43,1450,77,21,Low,Low,Optimal,sulphate_of_potash_sop,Aluminium Sulphate
163,10,198,Soybean,7.77,1420,72,19,Optimal,Optimal,Low,potassium_magnesium_sulphate,Elemental Sulphur
185,14,178,Chickpea,8.29,1855,54,15,Low,Low,Low,urea_mop_mixture,Agricultural Lime
49,26,72,Groundnut,7.74,2869,74,23,Low,Low,Low,single_super_phosphate_ssp,Ferrous Sulphate
137,18,128,Chickpea,7.76,1132,55,28,Low,Optimal,Low,urea_dap_mixture,Wood Ash
99,29,174,Maize,6.51,844,53,26,Optimal,Low,Optimal,ammonium_chloride,Dolomite
158,27,169,Groundnut,6.99,1298,64,26,Low,Low,Low,urea_mop_mixture,Ammonium Sulphate
48,12,142,Barley,5.63,3056,50,27,Low,Low,Optimal,potassium_magnesium_sulphate,Hydrated Lime
179,24,149,Mustard,7.7,1273,73,19,Low,Low,Low,potassium_magnesium_sulphate,Balance Maintain
82,20,168,Cotton,7.6,1890,52,20,Low,Low,Optimal,rock_phosphate,Gypsum
176,27,75,Soybean,7.42,3281,58,21,Optimal,Low,Low,potassium_carbonate,Hydrated Lime
120,29,189,Bajra,6.37,2553,63,25,Low,Optimal,Optimal,monoammonium_phosphate_map,Ammonium Sulphate
81,23,86,Garlic,6.46,2491,50,18,Low,Low,Optimal,ammonium_sulphate,Agricultural Lime
81,15,67,Mustard,7.42,3466,62,16,Optimal,Low,Optimal,potassium_magnesium_sulphate,Aluminium Sulphate
123,17,186,Bajra,6.1,1071,68,20,Optimal,Optimal,Optimal,muriate_of_potash_mop,Ammonium Sulphate
117,12,162,Maize,8.42,923,61,22,Optimal,Optimal,Low,dap_mop_mixture,Aluminium Sulphate
163,27,181,Cotton,6.37,2376,54,18,Optimal,Low,Optimal,urea_ammonium_nitrate_uan,Agricultural Lime
83,11,124,Wheat,7.65,1426,75,19,Optimal,Low,Low,balanced_npk_maintenance,Elemental Sulphur
176,10,170,Mustard,8.32,2752,76,24,Optimal,Optimal,Optimal,urea_mop_mixture,Ammonium Sulphate
168,20,78,Moong,6.76,1574,63,16,Low,Optimal,Optimal,ammonium_chloride,Wood Ash
130,26,200,Barley,8.1,1185,68,28,Low,Low,Low,dap_mop_mixture,Elemental Sulphur
124,19,160,Jowar,7.63,2490,61,23,Optimal,Optimal,Low,calcium_ammonium_nitrate_can,Elemental Sulphur
167,14,93,Garlic,8.03,1823,58,29,Optimal,Optimal,Optimal,potassium_carbonate,Ammonium Sulphate
185,27,187,Barley,6.1,2114,79,20,Optimal,Optimal,Low,urea,Ferrous Sulphate
160,11,129,Garlic,8.36,2883,76,30,Optimal,Low,Optimal,muriate_of_potash_mop,Aluminium Sulphate
49,20,110,Wheat,7.89,3289,55,19,Low,Low,Optimal,calcium_ammonium_nitrate_can,Dolomite
89,19,187,Bajra,7.63,2071,52,25,Optimal,Low,Optimal,dap_mop_mixture,Balance Maintain
190,21,61,Onion,7.31,1968,55,27,Low,Optimal,Optimal,urea,Dolomite
140,30,155,Garlic,6.38,1620,58,27,Low,Optimal,Low,potassium_carbonate,Wood Ash
170,22,101,Bajra,6.32,2818,69,26,Low,Optimal,Low,urea_mop_mixture,Gypsum
153,28,131,Maize,6.3,2884,65,25,Low,Optimal,Low,urea,Hydrated Lime
153,28,136,Garlic,8.13,1238,69,22,Low,Low,Low,potassium_nitrate,Ammonium Sulphate
100,13,97,Mustard,6.57,3042,60,15,Optimal,Optimal,Low,potassium_carbonate,Wood Ash
95,20,92,Ragi,8.16,1015,75,19,Low,Optimal,Optimal,ammonium_chloride,Aluminium Sulphate
43,27,124,Maize,8.29,2719,53,28,Low,Low,Low,muriate_of_potash_mop,Ammonium Sulphate
136,34,73,Groundnut,6.91,1406,61,24,Optimal,Optimal,Low,urea,Aluminium Sulphate
57,19,72,Mustard,7.01,3066,64,20,Optimal,Low,Low,single_super_phosphate_ssp,Dolomite
56,25,168,Moong,6.59,2043,53,25,Low,Low,Low,muriate_of_potash_mop,Quicklime
57,29,177,Cotton,6.51,2585,66,24,Optimal,Low,Optimal,monoammonium_phosphate_map,Elemental Sulphur
171,23,195,Jowar,8.4,2783,57,29,Optimal,Optimal,Optimal,muriate_of_potash_mop,Wood Ash
189,32,73,Mustard,6.05,2878,63,29,Optimal,Low,Low,urea_dap_mixture,Gypsum
43,31,118,Rice,5.78,3332,78,20,Optimal,Low,Low,ammonium_nitrate,Aluminium Sulphate
196,17,195,Cotton,7.29,3148,66,30,Optimal,Optimal,Optimal,single_super_phosphate_ssp,Agricultural Lime
42,20,131,Sugarcane,5.81,3272,70,24,Optimal,Optimal,Optimal,ammonium_sulphate,Agricultural Lime
65,13,80,Maize,5.64,2530,64,17,Optimal,Low,Low,potassium_magnesium_sulphate,Ferrous Sulphate
82,28,166,Cotton,7.77,1192,76,19,Optimal,Low,Low,urea,Wood Ash
57,22,128,Wheat,5.83,2834,59,15,Optimal,Optimal,Low,potassium_carbonate,Balance Maintain
93,18,189,Maize,7.91,2658,76,25,Optimal,Low,Optimal,urea_dap_mixture,Agricultural Lime
154,20,96,Garlic,6.67,3352,59,28,Low,Low,Low,monoammonium_phosphate_map,Wood Ash
114,14,125,Onion,7.04,3086,65,19,Optimal,Optimal,Low,triple_super_phosphate_tsp,Ferrous Sulphate
76,26,156,Garlic,7.38,2197,79,29,Optimal,Optimal,Low,dap_mop_mixture,Quicklime
103,25,66,Rice,7.07,1279,67,19,Optimal,Low,Low,urea,Dolomite
153,13,143,Cotton,8.43,1447,75,21,Low,Optimal,Optimal,urea_mop_mixture,Quicklime
160,11,144,Bajra,7.87,1259,74,15,Optimal,Low,Low,ammonium_sulphate,Ferrous Sulphate
109,14,106,Rice,5.98,2087,50,21,Low,Low,Optimal,ammonium_chloride,Balance Maintain
162,13,179,Soybean,5.7,2986,64,17,Optimal,Low,Low,urea_mop_mixture,Agricultural Lime
115,35,194,Chickpea,6.9,3306,56,18,Optimal,Low,Low,urea_ammonium_nitrate_uan,Elemental Sulphur
158,15,155,Garlic,8.38,1591,59,30,Low,Optimal,Low,ammonium_chloride,Dolomite
145,34,114,Groundnut,6.9,3266,54,23,Optimal,Optimal,Optimal,urea_ammonium_nitrate_uan,Ammonium Sulphate
56,12,98,Bajra,5.94,2333,62,18,Low,Optimal,Low,ammonium_sulphate,Gypsum
40,23,92,Bajra,5.66,2339,68,30,Low,Low,Optimal,muriate_of_potash_mop,Gypsum
164,13,130,Moong,6.57,1564,53,15,Optimal,Optimal,Low,urea_dap_mixture,Ferrous Sulphate
179,12,194,Ragi,6.81,2828,57,29,Low,Low,Optimal,potassium_carbonate,Agricultural Lime
88,20,146,Rice,7.93,877,54,24,Low,Optimal,Optimal,triple_super_phosphate_tsp,Quicklime
184,12,173,Groundnut,8.17,2087,79,18,Optimal,Low,Low,urea_dap_mixture,Ferrous Sulphate
105,16,78,Soybean,7.7,2470,77,26,Low,Optimal,Low,urea_mop_mixture,Dolomite
44,33,184,Chickpea,6.89,994,67,28,Optimal,Optimal,Optimal,urea_ammonium_nitrate_uan,Ammonium Sulphate
96,33,62,Ragi,6.37,2939,57,28,Low,Optimal,Optimal,balanced_npk_maintenance,Ferrous Sulphate
81,34,102,Maize,5.64,911,78,17,Low,Low,Optimal,urea_mop_mixture,Dolomite
127,14,159,Sugarcane,8.3,3156,73,30,Optimal,Optimal,Low,ammonium_nitrate,Dolomite
63,27,116,Onion,6.98,1652,61,22,Low,Optimal,Optimal,potassium_carbonate,Hydrated Lime
196,23,92,Ragi,6.22,1077,80,25,Optimal,Optimal,Low,urea_dap_mixture,Gypsum
61,34,171,Mustard,6.66,2454,53,26,Optimal,Optimal,Low,triple_super_phosphate_tsp,Quicklime
60,18,60,Wheat,6.78,1843,72,24,Optimal,Optimal,Low,ammonium_nitrate,Ammonium Sulphate
115,27,121,Garlic,8.13,1488,63,23,Low,Optimal,Low,urea_dap_mixture,Quicklime
186,34,90,Chickpea,7.95,1572,65,29,Low,Optimal,Low,single_super_phosphate_ssp,Aluminium Sulphate
79,28,180,Moong,5.76,866,66,17,Low,Optimal,Low,sulphate_of_potash_sop,Aluminium Sulphate
127,10,141,Groundnut,8.46,3191,67,15,Low,Low,Optimal,rock_phosphate,Ammonium Sulphate
42,17,132,Jowar,7.18,3063,53,26,Low,Low,Low,diammonium_phosphate_dap,Aluminium Sulphate
185,34,109,Jowar,8.08,894,78,23,Low,Optimal,Low,potassium_carbonate,Hydrated Lime
168,28,165,Chickpea,7.7,1026,67,19,Low,Optimal,Low,monoammonium_phosphate_map,Quicklime
165,19,87,Barley,8.39,2863,62,17,Low,Optimal,Optimal,urea,Aluminium Sulphate
64,20,180,Onion,5.56,2312,75,19,Optimal,Low,Optimal,dap_mop_mixture,Quicklime
199,23,108,Soybean,6.61,2287,62,25,Low,Low,Optimal,calcium_ammonium_nitrate_can,Aluminium Sulphate
60,16,192,Groundnut,6.96,3221,70,28,Optimal,Optimal,Low,ammonium_chloride,Gypsum
171,12,188,Bajra,5.71,2630,68,27,Low,Low,Optimal,balanced_npk_maintenance,Wood Ash
101,17,60,Rice,5.7,1877,78,17,Optimal,Low,Optimal,triple_super_phosphate_tsp,Agricultural Lime
187,20,135,Ragi,8.46,1314,76,26,Low,Optimal,Low,potassium_carbonate,Balance Maintain
161,23,63,Moong,8.02,1342,67,16,Optimal,Low,Optimal,triple_super_phosphate_tsp,Ferrous Sulphate
111,20,97,Moong,7.15,1711,54,23,Low,Low,Optimal,urea,Ferrous Sulphate
177,17,152,Rice,5.84,2052,59,25,Optimal,Low,Optimal,ammonium_chloride,Wood Ash
100,31,143,Onion,6.58,2571,68,21,Low,Optimal,Optimal,single_super_phosphate_ssp,Quicklime
196,15,62,Jowar,6.44,2566,66,20,Optimal,Optimal,Optimal,dap_mop_mixture,Elemental Sulphur
144,16,125,Moong,8.27,2777,50,27,Low,Low,Optimal,ammonium_nitrate,Ammonium Sulphate
78,23,189,Onion,7.15,2917,80,15,Optimal,Low,Optimal,diammonium_phosphate_dap,Agricultural Lime
160,23,160,Chickpea,6.64,979,80,15,Optimal,Low,Optimal,urea_dap_mixture,Gypsum
139,10,144,Bajra,8.32,936,56,22,Optimal,Low,Optimal,potassium_carbonate,Wood Ash
187,21,176,Maize,5.81,1873,56,18,Low,Optimal,Low,urea,Aluminium Sulphate
71,27,120,Chickpea,6.06,3282,69,17,Low,Low,Optimal,dap_mop_mixture,Agricultural Lime
44,23,64,Cotton,7.17,3336,52,21,Optimal,Low,Low,muriate_of_potash_mop,Dolomite
69,20,160,Wheat,8.35,1066,63,15,Low,Optimal,Optimal,muriate_of_potash_mop,Dolomite
41,19,61,Wheat,5.97,3397,51,28,Low,Low,Optimal,balanced_npk_maintenance,Quicklime
93,17,65,Groundnut,6.91,2033,58,17,Optimal,Optimal,Optimal,monoammonium_phosphate_map,Aluminium Sulphate
53,20,64,Garlic,7.74,1225,73,26,Optimal,Low,Optimal,potassium_carbonate,Ferrous Sulphate
144,33,69,Wheat,8.43,2664,67,25,Low,Optimal,Low,urea_ammonium_nitrate_uan,Ferrous Sulphate
191,20,152,Sugarcane,6.11,1560,70,28,Low,Low,Optimal,calcium_ammonium_nitrate_can,Ammonium Sulphate
91,25,68,Jowar,5.62,1205,80,15,Low,Optimal,Optimal,sulphate_of_potash_sop,Wood Ash
159,20,184,Barley,8.05,1921,69,27,Low,Low,Low,ammonium_sulphate,Ferrous Sulphate
180,26,115,Sugarcane,8.33,2178,65,21,Low,Low,Optimal,sulphate_of_potash_sop,Agricultural Lime
92,11,153,Barley,8.05,1691,64,26,Optimal,Low,Optimal,calcium_ammonium_nitrate_can,Quicklime
147,23,108,Cotton,7.52,1629,76,20,Low,Optimal,Low,calcium_ammonium_nitrate_can,Aluminium Sulphate
144,20,160,Maize,6.07,3108,75,29,Low,Low,Optimal,ammonium_sulphate,Agricultural Lime
177,23,68,Ragi,7.76,2808,54,30,Optimal,Optimal,Low,ammonium_chloride,Hydrated Lime
168,21,99,Bajra,6.77,3300,53,16,Low,Low,Optimal,potassium_magnesium_sulphate,Ammonium Sulphate
198,19,109,Bajra,5.82,1321,51,19,Low,Optimal,Optimal,diammonium_phosphate_dap,Quicklime
154,24,179,Garlic,8.37,1178,70,16,Low,Optimal,Optimal,muriate_of_potash_mop,Dolomite
61,18,169,Ragi,8.17,1961,72,22,Low,Low,Optimal,triple_super_phosphate_tsp,Balance Maintain
157,16,87,Wheat,6.63,3265,59,26,Optimal,Low,Low,potassium_carbonate,Ferrous Sulphate
40,17,173,Cotton,7.78,1025,65,19,Optimal,Optimal,Low,potassium_nitrate,Ferrous Sulphate
156,33,173,Groundnut,6.22,2758,66,23,Low,Optimal,Optimal,single_super_phosphate_ssp,Aluminium Sulphate
98,30,172,Soybean,6.43,2007,80,17,Low,Low,Low,diammonium_phosphate_dap,Hydrated Lime
152,11,138,Barley,7.84,1970,70,25,Optimal,Optimal,Optimal,urea,Dolomite
130,15,91,Groundnut,7.26,2787,74,16,Optimal,Low,Low,triple_super_phosphate_tsp,Elemental Sulphur
191,27,175,Moong,7.38,2274,64,18,Low,Optimal,Low,muriate_of_potash_mop,Balance Maintain
189,23,96,Bajra,7.42,1085,56,27,Low,Optimal,Optimal,ammonium_sulphate,Ammonium Sulphate
97,17,164,Onion,6.17,2193,57,29,Optimal,Optimal,Low,sulphate_of_potash_sop,Aluminium Sulphate
113,35,140,Barley,7.38,1294,50,16,Optimal,Low,Low,potassium_nitrate,Quicklime
143,18,93,Garlic,8.38,2617,56,15,Optimal,Low,Optimal,urea_ammonium_nitrate_uan,Balance Maintain
108,23,146,Barley,7.97,3441,69,17,Optimal,Low,Low,urea_dap_mixture,Balance Maintain
62,32,161,Wheat,6.38,832,77,25,Optimal,Optimal,Low,monoammonium_phosphate_map,Wood Ash
117,19,152,Groundnut,5.78,1520,76,25,Optimal,Low,Optimal,ammonium_chloride,Ammonium Sulphate
139,19,125,Cotton,6.95,1978,73,26,Optimal,Low,Optimal,sulphate_of_potash_sop,Wood Ash
156,34,78,Rice,7.23,2707,66,23,Low,Optimal,Low,urea_ammonium_nitrate_uan,Balance Maintain
99,30,176,Barley,7.52,2653,70,30,Low,Optimal,Low,dap_mop_mixture,Ferrous Sulphate
127,12,161,Groundnut,7.11,3426,65,23,Low,Optimal,Optimal,urea,Elemental Sulphur
112,12,74,Maize,6.48,3263,79,18,Optimal,Optimal,Optimal,potassium_nitrate,Hydrated Lime
99,22,178,Ragi,8.03,2008,61,27,Low,Low,Optimal,ammonium_chloride,Wood Ash
125,19,88,Chickpea,7.99,2458,52,19,Low,Optimal,Low,urea_dap_mixture,Wood Ash
162,20,115,Cotton,8.49,857,75,21,Optimal,Low,Low,urea,Quicklime
192,21,121,Moong,5.55,1202,54,15,Low,Low,Low,potassium_nitrate,Hydrated Lime
125,32,126,Cotton,6.4,1768,62,19,Optimal,Low,Low,calcium_ammonium_nitrate_can,Quicklime
132,18,68,Jowar,7.96,1846,62,22,Low,Optimal,Low,ammonium_chloride,Wood Ash
147,22,158,Onion,7.3,2475,59,16,Low,Optimal,Optimal,diammonium_phosphate_dap,Dolomite
150,23,192,Wheat,5.86,1030,51,28,Low,Low,Low,ammonium_nitrate,Gypsum
100,27,105,Rice,6.93,1259,73,21,Optimal,Low,Optimal,sulphate_of_potash_sop,Balance Maintain
97,26,122,Mustard,6.76,2941,51,21,Low,Optimal,Optimal,ammonium_chloride,Dolomite
147,29,165,Maize,8.27,879,73,29,Optimal,Low,Optimal,diammonium_phosphate_dap,Agricultural Lime
140,24,107,Bajra,6.83,3235,56,19,Optimal,Low,Optimal,calcium_ammonium_nitrate_can,Gypsum
61,26,125,Moong,7.36,3328,64,28,Optimal,Low,Low,sulphate_of_potash_sop,Elemental Sulphur
78,34,83,Mustard,7.98,2730,70,26,Optimal,Optimal,Optimal,urea_mop_mixture,Ferrous Sulphate
